score,cat,signals,penalties,year,source,pmid,doi,journal,title,authors,first_pdate,abstract
-6,likely_mr,prot:abs|gwas:abs,MR|meta,2024,MED,38601164,10.3389/fimmu.2024.1347112,Frontiers in immunology,Genetic insight into putative causes of xanthelasma palpebrarum: a Mendelian randomization study.,"Hu W, Liu Y, Lian C, Lu H.",2024-03-27,"Xanthelasma palpebrarum (XP) is the most common form of cutaneous xanthoma, with a prevalence of 1.1%~4.4% in the population. However, the cause of XP remains largely unknown. In the present study, we used Mendelian randomization to assess the genetic association between plasma lipids, metabolic traits, and circulating protein with XP, leveraging summary statistics from large genome-wide association studies (GWAS). Genetically predicted plasma cholesterol and LDL-C, but not HDL-C or triglyceride, were significantly associated with XP. Metabolic traits, including BMI, fasting glucose, type 2 di"
-6,likely_mr,prot:abs|gwas:abs|cohort,MR|coloc|drug-target,2025,MED,39477889,10.1111/jgh.16785,Journal of gastroenterology and hepatology,Therapeutic targets for hepatocellular carcinoma identified using proteomics and Mendelian randomization.,"Zhu W, Fan C, Liu B, Qin J, Fan A, Yang Z, Zhang H, Zhou W.",2024-10-30,"<h4>Background and aim</h4>Hepatocellular carcinoma (HCC) emerges as a formidable malignancy marked by elevated morbidity and mortality rates, coupled with a dismal prognosis. The revelation of gene-protein associations has presented an avenue for the exploration of novel therapeutic targets.<h4>Methods</h4>Pooling plasma proteomic data (seven published GWAS) and HCC data (DeCODE cohort), we applied MR to identify potential drug targets, which were further validated in the FinnGen cohort and UK Biobank. Subsequent colocalization and summary-data-based Mendelian randomization analyses were perf"
-6,likely_mr,prot:abs|gwas:abs,MR|meta,2024,PPR,,10.21203/rs.3.rs-5235659/v1,"{'publisher': 'Research Square', 'yearOfPublication': 2024}",Genetic Evidence Supports the Therapeutic Potential of Immune Checkpoint PD-L2 in the Development of Keloid,"Wang B, Deng Y, Ran Z, Pan B, Jiang H.",2024-10-22,"<title>Abstract</title>  <p>Keloids are pathological scars that extend beyond the original skin injury, resembling tumor-like growth, with unclear etiology and challenging treatment. This study aims to determine whether there is a causal link between the immune checkpoint PD-L2 and keloid risk, assessing immune checkpoints as potential therapeutic targets. A Mendelian randomization analysis was conducted using genome-wide association study summary statistics. PD-L2 expression levels were analyzed in Asian and European cohorts to explore their association with keloid risk. Two clinical cohorts "
-6,likely_mr,prot:abs|gwas:abs,MR|drug-target,2024,MED,39013416,10.1098/rsob.230419,Open biology,Genetic evidence for serum amyloid P component as a drug target in neurodegenerative disorders.,"Schmidt AF, Finan C, Chopade S, Ellmerich S, Rossor MN, Hingorani AD, Pepys MB.",2024-07-17,"The mechanisms responsible for neuronal death causing cognitive loss in Alzheimer's disease (AD) and many other dementias are not known. Serum amyloid P component (SAP) is a constitutive plasma protein, which is cytotoxic for cerebral neurones and also promotes formation and persistence of cerebral A<i>β</i> amyloid and neurofibrillary tangles. Circulating SAP, which is produced exclusively by the liver, is normally almost completely excluded from the brain. Conditions increasing brain exposure to SAP increase dementia risk, consistent with a causative role in neurodegeneration. Furthermore, n"
-6,likely_mr,prot:abs|gwas:abs,MR|drug-target,2023,PPR,,10.1101/2023.08.15.23293564,"{'publisher': 'medRxiv', 'yearOfPublication': 2023}",Genetic evidence for serum amyloid P component as a drug target for treatment of neurodegenerative disorders,"Schmidt AF, Finan C, Chopade S, Ellmerich S, Rossor MN, Hingorani AD, Pepys MB.",2023-08-16,"The direct causes of neurodegeneration underlying Alzheimer’s disease (AD) and many other dementias, are not known. Here we identify serum amyloid P component (SAP), a constitutive plasma protein normally excluded from the brain, as a potential drug target. After meta-analysis of three genome-wide association studies, comprising 44,288 participants, cis -Mendelian randomization showed that genes responsible for higher plasma SAP values are significantly associated with AD, Lewy body dementia and plasma tau concentration. These genetic findings are consistent with experimental evidence of SAP n"
-6,likely_mr,prot:abs|gwas:abs|cohort,MR|coloc|meta,2025,MED,41429762,10.1038/s41398-025-03738-0,Translational psychiatry,"Circulating inflammatory proteins associated with risks of schizophrenia, bipolar disorder, and major depressive disorder: a mendelian randomization study.","Dong Z, Bi B, Li R, Wang X, Liu H, Wu G, Sun Z, Pu E, He C, Zhang Y, Wang X, Tian B, Tan Y, Chen S.",2025-12-23,"Schizophrenia (SCZ), bipolar disorder (BD), and major depressive disorder (MDD) share common genetic and environmental risk factors, with immune-inflammatory dysregulation playing a crucial role in their pathophysiology. However, further research is needed to clarify causal relationships. We conducted a Mendelian randomization (MR) study using summary statistics from large-scale genome-wide association studies (GWAS) of European ancestry as instrumental variables to assess the association between 95 circulating inflammatory proteins and the risk of SCZ, BD, and MDD. Initially, a bidirectional "
-6,likely_mr,prot:abs|gwas:abs,MR|meta,2024,MED,38874503,10.18632/aging.205934,Aging,Genetically predicted 91 circulating inflammatory proteins in relation to risk of urological malignancies: a Mendelian randomization study.,"Xu J, Chen R, Yang Y, Xu S, Yao L.",2024-06-13,"<h4>Background</h4>Urological malignancies, including kidney, bladder, and prostate cancer, are major health concerns worldwide. Inflammation has been implicated in the pathogenesis of these cancers, and circulating inflammatory proteins may play a role in their development. However, the causal relationship between specific plasma proteins and urological malignancies remains unclear.<h4>Methods</h4>We performed a two-sample Mendelian randomization (MR) analysis using summary statistics from genome-wide association studies (GWAS). Instrumental variables representing genetic variants associated "
-6,likely_mr,prot:abs|gwas:abs|cohort,MR|coloc|drug-target,2024,PPR,,10.1101/2024.07.27.24311104,"{'publisher': 'medRxiv', 'yearOfPublication': 2024}",Dual site proteomic analyses reveal potential drug targets for cardiovascular disease,"Oldnall CA, Ng-Kee-Kwong J, Wills J, Richmond A, Regan T, Clohisey Hendry S, Campbell A, Baillie JK, von Kriegsheim A, Haley C, Khamseh A, Beentjes SV, Bretherick AD.",2024-07-29,"<h4>Background: </h4> While genome-wide association studies (GWAS) hold great promise for unravelling disease pathophysiology, the translation of disease-associated genetic loci into clinically actionable information remains a challenge. Mendelian randomisation (MR), using expressed proteins as exposures and disease as an outcome, stands as a powerful analytical approach for leveraging GWAS data to identify potential drug-targets--at scale--in a data-driven manner. Cardiovascular disease (CVD) is a major health burden worldwide, and therefore is an important outcome for which to establish and "
-6,likely_mr,prot:abs|gwas:abs|cohort,MR|coloc|meta,2025,MED,40773112,10.1007/s12672-025-03370-w,Discover oncology,Genetic evidence for causal effects of inflammatory protein factors on breast cancer.,"Liu X, Xu X, Ye P, Jiang Z, Tian L, Yin Y, Feng L.",2025-08-07,"<h4>Background</h4>Breast cancer (BC) represents a significant public health challenge characterized by complex pathogenic mechanisms. While inflammatory proteins are known to play crucial roles in cancer development, their causal relationships with breast cancer risk remain inadequately understood. This study employed Mendelian randomization (MR) analysis to investigate potential causal associations between inflammatory proteins and breast cancer susceptibility.<h4>Methods</h4>We utilized genome-wide association study (GWAS) data for inflammatory protein levels from 14,824 European individual"
-6,likely_mr,prot:abs|gwas:abs,MR|drug-target,2025,MED,40826785,10.1097/md.0000000000042290,Medicine,Integrated multi-omics analysis reveals diagnostic biomarkers and therapeutic targets for systemic lupus erythematosus.,"Huang L, Shi J, Li H, Lin Q.",2025-08-01,"Systemic lupus erythematosus (SLE) is a complex autoimmune disorder with poorly understood molecular mechanisms. This study investigated causal relationships between plasma proteins and SLE using two-sample Mendelian randomization analysis based on genome-wide association study data. Functional enrichment analyses Gene Ontology and Kyoto Encyclopedia of Genes and Genomes and protein-protein interaction network analysis identified apolipoprotein A2, MANSC domain-containing protein 1, and proteasome subunit beta 5 as key genes involved in glycoprotein metabolism and immune responses. Molecular d"
-6,likely_mr,prot:abs|gwas:abs|cohort,MR|coloc|drug-target,2025,MED,39478651,10.5534/wjmh.240131,The world journal of men's health,Mitochondrial FIS1 As a Novel Drug Target for the Treatment of Erectile Dysfunction: A Multi-Omic and Epigenomic Association Study.,"Zhu T, Gao P, Ma Y, Yang P, Cao Z, Gao J, Du J, Jiang H, Zhang X.",2024-10-16,"<h4>Purpose</h4>Mitochondrial dysfunction may impact male erectile function, but the underlying genetic mechanisms remain unclear. The study aims to investigate the causal role for genetically regulated mitochondrial function in erectile dysfunction (ED) and to identify potential drug targets for the treatment of ED.<h4>Materials and methods</h4>The data of gene methylation, gene expression and protein level related to mitochondria were extracted from the corresponding genome-wide association studies (GWAS) database. Discovery and validation datasets for ED were sourced from research by Bovijn"
-6,likely_mr,prot:abs|gwas:abs|cohort,MR|coloc|meta,2025,MED,40361162,10.1186/s40246-025-00768-z,Human genomics,Targeted multi-layer analysis of PANoptosis-associated genes in the etiology of chronic kidney disease.,"Li T, Zhang Y, Wang X, Liu Q, Ma X, Sui M.",2025-05-13,"<h4>Background</h4>Previous studies have examined the cellular and molecular interactions between chronic kidney disease (CKD) and PANoptosis, yet the genetic underpinnings remain unclear.<h4>Materials</h4>Data at the summary level regarding the methylation, gene expression, and protein levels associated with PANoptosis were obtained from quantitative trait locus (QTL) studies. Genome-wide association study (GWAS) summary statistics for CKD were derived from a GWAS study, supplemented by a replication dataset from the FinnGen database. Genetic variants proximal to or within genes involved in P"
-6,likely_mr,prot:abs|gwas:abs,MR|drug-target,2025,MED,40342965,10.1177/20420188251337988,Therapeutic advances in endocrinology and metabolism,Multi-omics investigation of prospective therapeutic targets for type 1 diabetes.,"Zhang YY, Qiao QT, Chen BX, Wan Q.",2025-05-07,"<h4>Background</h4>In recent years, the incidence of type 1 diabetes has been rising steadily, positioning its prevention and treatment as a central focus of global public health initiatives. Previous Mendelian randomization (MR) studies have investigated the relationship between proteomics and type 1 diabetes. Consequently, this study aims to identify prospective therapeutic targets for type 1 diabetes through a comprehensive multi-omics analysis.<h4>Methods</h4>This study primarily utilized the MR method, drawing on genetic data from several large-scale, publicly accessible genome-wide assoc"
-6,likely_mr,prot:abs|gwas:abs,MR|drug-target,2025,MED,40349847,10.1016/j.diabres.2025.112237,Diabetes research and clinical practice,Genome-wide Mendelian randomization study identifies therapeutic targets for diabetic microangiopathy.,"Yang X, Liu Q, Ma Q, Fan X, Huang C, Zhao Y, Xia J, Liu T, Zhou H, Yan B.",2025-05-09,"<h4>Aims</h4>This study aims to identify potential therapeutic targets for diabetic microangiopathy by integrating genome-wide association studies (GWAS) and Mendelian randomization (MR) analyses.<h4>Methods</h4>A comprehensive analysis of GWAS datasets on diabetic microangiopathy was conducted by using two-sample MR to determine the causal effects of blood-expressed druggable genes at both the transcriptional and protein levels. Co-localization analysis was conducted to validate gene-trait associations, while phenome-wide association studies (PheWAS) explored broader phenotypic implications. "
-6,likely_mr,prot:abs|gwas:abs|cohort,MR|coloc|drug-target,2025,MED,39993665,10.1016/j.neuroscience.2025.02.038,Neuroscience,Discovering genetically-supported drug targets for multisite chronic pain through multi-omics Mendelian randomization and single-cell RNA-sequencing.,"Cui Z, Qiu J, Lin J, Fu Y, Lin L.",2025-02-22,"Multisite chronic pain (MCP) is a highly prevalent disorder with substantial unmet therapeutic needs.We conducted multi-omics Mendelian randomization and Bayesian colocalization to identify potential therapeutic targets for MCP. Summary-level data of gene expressions and protein abundance levels were obtained from corresponding quantitative trait loci studies, respectively. Summary-level data for MCP was leveraged from the UK Biobank. The transcriptome-wide association study (TWAS), Mendelian randomization, and Bayesian colocalization approaches were applied to investigate the potential causal"
-7,likely_mr,prot:abs|gwas:abs|nproteins,MR|drug-target|meta,2026,MED,41630303,10.1097/md.0000000000045715,Medicine,Identification of potential drug targets for Alzheimer's disease from genetic insights: A Mendelian randomization study.,"Zhao YH, Ning JH, Zhang X, Qu R, Lv CC, Zhang YZ.",2026-01-01,"Alzheimer disease (AD) is a primary neurodegenerative disorder of the brain with an unknown cause and complex pathogenesis. It is the most common form of dementia and poses a significant threat to the health of the aging population worldwide. However, effective pharmacological treatments remain limited. This study employed publicly available genome-wide association study summary statistics, which included 4907 plasma proteins as exposures and AD as the outcome. To explore the causal relationship between plasma proteins and AD, 5 Mendelian randomization (MR) analyses were applied. Heterogeneity"
-7,likely_pwas,prot:abs|gwas:abs,PWAS|meta,2024,MED,39349773,10.1007/s00125-024-06277-3,Diabetologia,Identification of proteins associated with type 2 diabetes risk in diverse racial and ethnic populations.,"Liu S, Zhu J, Zhong H, Wu C, Xue H, Darst BF, Guo X, Durda P, Tracy RP, Liu Y, Johnson WC, Taylor KD, Manichaikul AW, Goodarzi MO, Gerszten RE, Clish CB, Chen YI, Highland H, Haiman CA, Gignoux CR, Lange L, Conti DV, Raffield LM, Wilkens L, Marchand LL, North KE, Young KL, Loos RJ, Buyske S, Matise T, Peters U, Kooperberg C, Reiner AP, Yu B, Boerwinkle E, Sun Q, Rooney MR, Echouffo-Tcheugui JB, Daviglus ML, Qi Q, Mancuso N, Li C, Deng Y, Manning A, Meigs JB, Rich SS, Rotter JI, Wu L.",2024-09-30,"<h4>Aims/hypothesis</h4>Several studies have reported associations between specific proteins and type 2 diabetes risk in European populations. To better understand the role played by proteins in type 2 diabetes aetiology across diverse populations, we conducted a large proteome-wide association study using genetic instruments across four racial and ethnic groups: African; Asian; Hispanic/Latino; and European.<h4>Methods</h4>Genome and plasma proteome data from the Multi-Ethnic Study of Atherosclerosis (MESA) study involving 182 African, 69 Asian, 284 Hispanic/Latino and 409 European individual"
-7,likely_pwas,prot:title|gwas:abs,MR|PWAS|coloc,2025,MED,41300562,10.3390/children12111443,"Children (Basel, Switzerland)",Genetic Pleiotropy and Causal Pathways Linking Glycemic Traits to Asthma: An Integrated Proteogenomic Investigation.,"Chen L, Lin J, Zhao Y, Zhang G, Kong Z, Qiu C, Peng K, Liu H, Luo Z.",2025-10-24,"<b>Background:</b> While diabetes is a recognized risk factor for asthma, the shared genetic components between diabetes/glycemic traits and asthma remain unclear. This study investigates the genetic associations, causal relationships, and underlying mechanisms linking these conditions. <b>Methods:</b> We assessed global genetic correlations using linkage disequilibrium score regression (LDSC), high-definition likelihood analysis (HDL), and genetic covariance analysis (GNOVA). Trait pairs with significant correlations subsequently underwent genetic overlap analysis (Genetic analysis integratin"
-7,likely_pwas,prot:title|gwas:abs,MR|PWAS|coloc,2025,PPR,,10.21203/rs.3.rs-6751995/v1,"{'publisher': 'Research Square', 'yearOfPublication': 2025}",Large-scale association analysis identified novel differentiated thyroid carcinoma risk loci by integrating transcriptome and proteome,"Truong T, Park SH, Asgari Y, Sugier P, Karimi M, Thomsen H, Försti A, Elisei R, Gemignani F, Landi S, de Vathaire F, Mulot C, Laurent-Puig P, Ostroumova E, Guénel P, Deleuze J, Dahm C(, Canzian F, Iannuzzo G, Sacerdote C, Guevara M, Jimenez-Zabala A, Smith-Byrne K, Yarmolinsky J, Rinaldi S, Severi G, Lesueur F.",2025-07-18,"<title>Abstract</title>  <p>  Differentiated thyroid cancer (DTC) is a prevalent malignancy with increasing global incidence, yet its genetic susceptibility remains poorly understood. Although previous genome-wide association studies (GWAS) have identified several susceptibility loci, the genetic, transcriptomic, and proteomic factors influencing DTC risk remain unclear. We conducted a large-scale GWAS of 7,681 cases and 963,550 controls of European ancestry. Transcriptome-wide association studies (TWAS) used the joint tissue imputation across thyroid, pituitary, blood, and hypothalamus tissue"
-7,likely_pwas,prot:title|gwas:abs,MR|PWAS|coloc,2023,MED,37537391,10.1038/s10038-023-01186-6,Journal of human genetics,Proteome-wide mendelian randomization identifies causal plasma proteins in venous thromboembolism development.,"Li H, Zhang Z, Qiu Y, Weng H, Yuan S, Zhang Y, Zhang Y, Xi L, Xu F, Ji X, Hao R, Yang P, Chen G, Zuo X, Zhai Z, Wang C.",2023-08-03,"Genome-wide association studies (GWAS) have identified numerous risk loci for venous thromboembolism (VTE), but it is challenging to decipher the underlying mechanisms. We employed an integrative analytical pipeline to transform genetic associations to identify novel plasma proteins for VTE. Proteome-wide association studies (PWAS) were determined by functional summary-based imputation leveraging data from a genome-wide association analysis (14,429 VTE patients, 267,037 controls), blood proteomes (1348 cases), followed by Mendelian randomization, Bayesian colocalization, protein-protein intera"
-7,likely_pwas,prot:title|gwas:abs,PWAS|drug-target|meta,2024,MED,41726398,,AMIA ... Annual Symposium proceedings. AMIA Symposium,Penalized Regression Based Proteome-Wide Association Study Reveals Potential Population-Specific Drug Targets for Alzheimer's Disease in European and African American Cohorts.,"Shi S, Liu S, Liu Y, Lu Q.",2024-01-01,"Alzheimer's disease (AD) is a complex neurodegenerative disorder with significant genetic underpinnings, yet effective treatments remain elusive. To bridge the gap between genetic discoveries and therapeutic development, we conducted a penalized regression based proteome-wide association study (PWAS) in both European and African American populations. Using publicly available GWAS summary statistics and the BLISS model, we identified 37 protein-coding genes significantly associated with AD risk, including APOE and BCAM in both populations. We further applied the GREP model to prioritize reposit"
-7,likely_pwas,prot:abs|gwas:abs|cohort,MR|PWAS,2025,MED,41201239,10.1002/sim.70308,Statistics in medicine,A Modification to Two-Stage Least Squares With Genetic Applications.,"Fang L, Pan W.",2025-11-01,"Two-stage least squares (2SLS) is by default applied to infer a putative causal association between an exposure, such as a gene or a protein, with an outcome such as a complex disease or trait, in transcriptome- or proteome-wide association studies (TWAS/PWAS). In a typical two-sample setting for TWAS/PWAS, the stage 1 sample size is much smaller than that of stage 2. To reduce the resulting attenuation bias and estimation uncertainty in stage 1 and boost the statistical power of the conventional TWAS, we propose a new method, called reverse two-stage least squares (r2SLS): Instead of imputing"
-7,likely_pwas,prot:abs|gwas:title,MR|PWAS|coloc,2024,MED,38909833,10.1016/j.jpain.2024.104610,The journal of pain,Identifying Novel Proteins for Chronic Pain: Integration of Human Brain Proteomes and Genome-wide Association Data.,"Huang H, Ji F, Hu C, Huang J, Liu F, Han Z, Liu L, Cao M, Fu G.",2024-06-21,"Numerous genome-wide association studies have identified risk genes for chronic pain, yet the mechanisms by which genetic variants modify susceptibility have remained elusive. We sought to identify key genes modulating chronic pain risk by regulating brain protein expression. We integrated brain proteomic data with the largest genome-wide dataset for multisite chronic pain (N = 387,649) in a proteome-wide association study (PWAS) using discovery and confirmatory proteomic datasets (N = 376 and 152) from the dorsolateral prefrontal cortex. Leveraging summary data-based Mendelian randomization a"
-7,likely_pwas,prot:title|gwas:abs,MR|PWAS|coloc,2025,MED,39930075,10.1007/s12672-025-01899-4,Discover oncology,"A Multi-omic study integrating plasma protein, multiple tissues, and single-cell identifies RNASET2 as a key gene for lung cancer.","Shi J, Zhang L.",2025-02-10,"<h4>Introduction</h4>Lung cancer (LC) has the highest cancer-related mortality rate. Even though genome-wide association studies (GWAS) have identified numerous loci linked to LC risk, the underlying causal genes and biological processes are still mostly unknown.<h4>Methods</h4>The LC GWAS summary data comprised 29,863 cases and 55,586 controls of European ancestry. The weight file and related files of plasma protein, multi-tissue, and single-cell were obtained from Zhang's study, Mancuso lab, and Thompson's study, respectively. We conducted transcriptome association studies (TWAS) employing f"
-7,likely_pwas,prot:abs|gwas:abs,PWAS|meta,2025,PPR,,10.1101/2025.07.11.25331391,"{'publisher': 'medRxiv', 'yearOfPublication': 2025}",Identification of multi-omic pleiotropy factors for peripheral artery disease,"Hu J, Ochoa Chaar CI, Zhao H, DeWan AT.",2025-07-14,"Abstract Background: Peripheral artery disease (PAD) is prevalent and frequently co-occurs with type 2 diabetes (T2D) and coronary artery disease (CAD). Although shared genetic factors may contribute to these comorbidities, few studies have examined pleiotropy at the transcriptomic and proteomic levels. <h4>Methods:</h4> We generated summary statistics for transcriptome-wide (TWAS) and proteome-wide (PWAS) association analyses across PAD, T2D, and CAD. Joint tests for pleiotropy at the variant, transcript, and protein levels were performed using PLACO, and the contributions of these pleiotropi"
-8,likely_mr,prot:abs|gwas:abs,MR|coloc|meta,2026,MED,41560081,10.1097/md.0000000000046974,Medicine,Association of programmed cell death with atrial fibrillation risk: A multi-omics Mendelian randomization study.,"Liu K, Han X, Chen Y.",2026-01-01,"The association between programmed cell death (PCD) and atrial fibrillation (AF), as well as the underlying genetic mechanisms, remains unclear. This study aimed to evaluate the causal relationships between PCD-related genes and AF using a multi-omics approach, involving Mendelian randomization (MR) and colocalization analyses. Genome-wide association studies summary statistics regarding PCD-related gene methylation, gene expression, and protein abundance were acquired from relevant studies, and 1073 PCD-related genes were analyzed. The reliability of the MR estimates was evaluated through col"
-8,likely_primary,prot:abs|gwas:abs|denovo-pqtl,MR|PWAS|drug-target,2025,MED,40577117,10.1073/pnas.2425537122,Proceedings of the National Academy of Sciences of the United States of America,Multiomics integration prioritizes potential drug targets for multiple sclerosis.,"Jiang Y, Liu Q, Stridh P, Kockum I, Olsson T, Alfredsson L, Diaz-Gallo LM, Jiang X.",2025-06-27,"Multiple sclerosis (MS) is an immune-mediated disease with no current cure. Drug discovery and repurposing are essential to enhance treatment efficacy and safety. We utilized summary statistics for protein quantitative trait loci (pQTL) of 2,004 plasma and 1,443 brain proteins, a genome-wide association study of MS susceptibility with 14,802 cases and 26,703 controls, both bulk and cell-type specific transcriptome data, and external pQTL data in blood and brain. Our integrative analysis included a proteome-wide association study to identify MS-associated proteins, followed by summary-data-base"
-8,likely_mr,prot:abs|gwas:abs,MR|coloc|drug-target,2025,MED,40635100,10.1186/s40662-025-00442-4,"Eye and vision (London, England)",Genetic prioritisation of candidate drug targets for glaucoma through multi-trait and multi-omics integration.,"Chen J, Li Y, Zhu Y, Li Z, Huang S, Huang W, Ling Y, Liang J, Leng Y, Zhuo Y.",2025-07-10,"<h4>Background</h4>Glaucoma causes permanent blindness. Current treatments have limited effectiveness, necessitating novel therapeutic strategies. We aimed to identify potential drug targets for glaucoma by integrating multi-trait and multi-omic analyses.<h4>Methods</h4>We sourced druggable gene expression and protein abundance summary-level data from quantitative trait loci studies, and genetic associations with glaucoma from a large-scale multi-trait analysis. We employed proteome and transcriptome Mendelian randomization (MR) and colocalisation to identify potential therapeutic targets, gla"
-8,likely_mr,prot:abs|gwas:abs,MR|coloc|meta,2025,MED,40943610,10.3390/ijms26178690,International journal of molecular sciences,Mitochondrial Gene Regulation and Pain Susceptibility: A Multi-Omics Causal Inference Study.,Liu CC.,2025-09-06,"The causal contributions of specific mitochondrial genes to common pain phenotypes remain unclear. We employed a multi-omics Mendelian randomization (SMR) approach, integrating QTL data (expression, methylation, protein) for mitochondrial genes with GWAS summary statistics for seven pain phenotypes. We identified 18 candidate genes with robust SMR associations across omics layers. However, strong colocalization evidence (PP.H4 > 0.7) was largely absent, pointing towards complex genetic architectures. A notable exception was a strong signal for a shared causal variant found at the methylation l"
-8,likely_mr,prot:abs|gwas:abs,MR|coloc|drug-target,2025,MED,41346997,10.3389/fmed.2025.1660249,Frontiers in medicine,Neuromedin B identified as a therapeutic target for atopic dermatitis: evidence from Mendelian randomization and PCR validation.,"Zhang L, Yao Y, Ke C, Bu X, Jiao Q, Ji J.",2025-11-19,"<h4>Introduction</h4>Atopic dermatitis (AD) is a long-standing inflammatory dermatosis marked by intense itching and immune imbalance. Despite recent advances in targeted biologic therapies, limitations in efficacy and cost highlight the urgent need for novel therapeutic targets.<h4>Methods</h4>We employed Mendelian randomization (MR) by combining genome-wide association studies (GWAS), expression quantitative trait loci (eQTL), and protein QTL (pQTL) datasets to identify causal druggable genes associated with AD. To enhance the validity of causal inference, we further utilized colocalization "
-8,likely_mr,prot:abs|gwas:abs,MR|coloc|drug-target,2025,MED,40394637,10.1186/s12959-025-00738-4,Thrombosis journal,Potential drug targets for peripheral artery disease identified through Mendelian randomization analysis.,"Ding X, Li H, Li L, Yang Y, Chen Z.",2025-05-20,"<h4>Introduction</h4>Peripheral Artery Disease (PAD) is a common cardiovascular condition marked by peripheral artery stenosis or occlusion. Despite treatment advancements, patients will still face vascular complications, highlighting the need for innovative therapies. Human proteins play crucial roles in biology and drug research. Mendelian randomization (MR) analysis, a gene-based method, is increasingly used in drug target identification. This study aims to identify PAD-associated plasma proteins through MR analysis for potential therapies.<h4>Methods</h4>We first used GWAS data and seven p"
-8,likely_primary,prot:abs|gwas:abs|denovo-pqtl,MR|PWAS|drug-target,2024,MED,39261869,10.1186/s13018-024-05034-x,Journal of orthopaedic surgery and research,Identification of novel drug targets for osteoarthritis by integrating genetics and proteomes from blood.,"Song S, Qiao J, Zhao R, Lu YJ, Wang C, Chang MJ, Zhang HY, Li XF, Wang CH.",2024-09-11,"<h4>Background</h4>Osteoarthritis (OA) is a degenerative osteoarticular disease, involving genetic predisposition. How the risk variants confer the risk of OA through their effects on proteins remains largely unknown. Therefore, we aimed to discover new and effective drug targets for OA and its subtypes.<h4>Methods</h4>A proteome-wide association study (PWAS) was performed based on OA and its subtypes genome-wide association studies (GWAS) summary datasets and the protein quantitative trait loci (pQTL) data. Subsequently, Mendelian randomization (MR) and colocalization analysis was conducted t"
-8,likely_mr,prot:abs|gwas:abs,MR|coloc|drug-target,2026,MED,42005663,10.1002/hsr2.72044,Health science reports,Systematic Druggable Genome-Wide Analysis Identifies Therapeutic Targets for Aging: A Mendelian Randomization Study.,"Zhang Y, Wang M, Li H, Jin T, Peng S, Dong Y, Deng C, Li H, Li X, Qin J, Ye X.",2026-03-29,"<h4>Background and aims</h4>Currently, there are no effective drug treatments for aging. Mendelian randomization (MR) has been widely applied to repurpose existing drugs and identify new therapeutic targets. Our aim is to identify aging-related therapeutic targets and evaluate their potential adverse effects, underlying mechanisms, and actionable drugs.<h4>Methods</h4>We integrated druggable genome data, <i>cis</i>-expression quantitative trait loci (eQTL) data from human blood, and genome-wide association study (GWAS) summary data on aging. Using two-sample MR, we analyzed the potential causa"
-8,likely_mr,prot:abs|gwas:abs,MR|coloc|meta,2026,MED,41917768,10.1002/brb3.71366,Brain and behavior,Integrative Multi-Omics Mendelian Randomization Highlights Causal Autophagy-Related Genes for Amyotrophic Lateral Sclerosis.,"Jiang Z, Ren YL, Gu XJ, Su WM, Duan QQ, Yin KF, Cao B, Li JY, Yan B, Chen YP.",2026-04-01,"<h4>Background</h4>Autophagy dysregulation has been implicated in the toxic protein aggregates of amyotrophic lateral sclerosis (ALS). However, the causal relationship between impaired autophagy and ALS remains ambiguous, necessitating further elucidation.<h4>Methods</h4>This Mendelian randomization (MR) study employs a two-sample design, utilizing genetic instruments to proxy autophagy dysregulation as the exposure and ALS as the outcome. It incorporates summary statistics of ALS (27,205 cases, 110,881 controls), along with data on DNA methylation, RNA splicing, gene expression, and protein a"
-8,likely_mr,prot:abs|gwas:abs,MR|coloc|drug-target,2025,MED,40893937,10.3389/fgene.2025.1631446,Frontiers in genetics,New therapeutic targets for endometriosis predicted through mendelian randomization analysis and case-control trials.,"Zheng L, Yin Y, Wang X, Wang B, Cui R, Zhang G.",2025-08-15,"<h4>Introduction</h4>Endometriosis is a common chronic gynecological condition that affects approximately 10% of women of reproductive age worldwide.<h4>Methods</h4>This study utilized large-scale genome-wide association study data and explored the causal relationship between blood metabolites, plasma proteins, and endometriosis via Mendelian randomization and colocalization analysis methods. Clinical pathological data were collected, and hypotheses were validated through experiments such as ELISA, RT-qPCR, and Western blotting.<h4>Results</h4><i>RSPO3</i> and <i>FLT1</i> were found to be pote"
-8,likely_mr,prot:abs|gwas:abs,MR|coloc|drug-target,2024,MED,38659056,10.1186/s40246-024-00607-7,Human genomics,Mendelian randomization and colocalization analysis reveal novel drug targets for myasthenia gravis.,"Ouyang Y, Chen Y, Chen K, Tang Z, Shi G, Qu C, Zhang K, Yang H.",2024-04-24,"<h4>Objective</h4>Myasthenia gravis (MG) is a complex autoimmune disease affecting the neuromuscular junction with limited drug options, but the field of MG treatment recently benefits from novel biological agents. We performed a drug-targeted Mendelian randomization (MR) study to identify novel therapeutic targets of MG.<h4>Methods</h4>Cis-expression quantitative loci (cis-eQTL), which proxy expression levels for 2176 druggable genes, were used for MR analysis. Causal relationships between genes and disease, identified by eQTL MR analysis, were verified by comprehensive sensitivity, colocaliz"
